sainsbury's sprmrkts lt london ,Sainsburys
uber help.uber.com ,Uber 
uber eats j5jgo help.uber.com ,Uber Eats 
netflix.com amsterdam ,Netflix 
amazon eu sarl amazon.co.uk/ ,Amazon 
netflix.com 866-716-0414 ,Netflix 
uber eats 6p7n7 help.uber.com ,Uber Eats 
google *google g.co/helppay# ,Google 
amazon prime amzn.co.uk/pm ,Amazon Prime 
dvla vehicle tax ,DVLA 
dvla vehicle tax - vis ,DVLA 
direct debit payment to dvla-i2den ,DVLA 
dvla-ln99abc ,DVLA 
sky digital 13524686324522 ,Sky Digital 
direct debit sky digital 83741234567852 ddr ,Sky Digital 
sky subscription - sky subscription 38195672157 gb ,Sky
Test transaction,unkown
amazon amazon.com/,Amazon
uber netflix-dvla-sky-sainsbury's,Sainsburys
